Category,x,y,z
2021-12-15 18:24:42,"0,15544","0,11484","0,1498"
2021-12-15 18:24:44,"0,13997","0,12065","0,20557"
2021-12-15 18:24:47,"0,16678","0,12131","0,14626"
2021-12-15 18:24:49,"0,12508","0,12002","0,15345"
2021-12-15 18:24:52,"0,13631","0,16147","0,14106"
2021-12-15 18:24:54,"0,17208","0,12574","0,19186"
2021-12-15 18:24:56,"0,18171","0,14689","0,19236"
2021-12-15 18:24:59,"0,13116","0,11924","0,18495"
2021-12-15 18:25:01,"0,16545","0,11453","0,176"
2021-12-15 18:25:04,"0,13965","0,132","0,1691"
2021-12-15 18:25:06,"0,14475","0,12953","0,17048"
2021-12-15 18:25:08,"0,12143","0,1138","0,17488"
2021-12-15 18:25:10,"0,14939","0,11757","0,16073"
2021-12-15 18:25:12,"0,12584","0,1137","0,17425"
2021-12-15 18:25:15,"0,14951","0,13132","0,17355"
2021-12-15 18:25:17,"0,14958","0,12532","0,16471"
2021-12-15 18:25:20,"0,15087","0,12925","0,1729"
2021-12-15 18:25:22,"0,13797","0,12112","0,17588"
2021-12-15 18:25:24,"0,18875","0,13401","0,18767"
2021-12-15 18:25:26,"0,17335","0,09666","0,17197"
2021-12-15 18:25:29,"0,1818","0,1187","0,17074"
2021-12-15 18:25:31,"0,25823","0,17248","0,17483"
2021-12-15 18:25:33,"0,24889","0,13304","0,21562"
2021-12-15 18:25:36,"0,555","6,60745","0,23763"
2021-12-15 18:25:38,"0,2536","0,13751","0,19948"
2021-12-15 18:25:40,"0,59537","0,32441","0,32254"
2021-12-15 18:25:42,"1,07766","0,43969","0,73534"
2021-12-15 18:25:45,"0,44538","0,31247","0,32048"
2021-12-15 18:25:47,"0,76832","0,4177","1,04026"
2021-12-15 18:25:49,"0,55797","0,36701","0,52594"
2021-12-15 18:25:51,"0,68989","0,41389","0,81934"
2021-12-15 18:25:53,"0,70897","0,41571","0,6266"
2021-12-15 18:25:56,"0,81659","0,39912","0,85953"
2021-12-15 18:25:58,"0,45611","0,32962","0,47336"
2021-12-15 18:26:00,"0,71314","0,36595","0,9168"
2021-12-15 18:26:02,"0,70277","0,27298","0,39578"
2021-12-15 18:26:05,"0,83692","8,07994","0,44637"
2021-12-15 18:26:07,"0,19686","0,14147","0,15665"
2021-12-15 18:26:09,"0,16816","0,11629","0,18013"
