Category,x,y,z
2021-12-15 19:48:37,"0,18012","0,13203","0,15311"
2021-12-15 19:48:39,"0,15588","0,12653","0,16497"
2021-12-15 19:48:41,"0,17471","0,11303","0,16581"
2021-12-15 19:48:43,"0,14699","0,15005","0,22931"
2021-12-15 19:48:45,"0,12482","0,17192","0,19746"
2021-12-15 19:48:47,"0,15546","0,11784","0,14146"
2021-12-15 19:48:50,"0,15242","0,11887","0,15042"
2021-12-15 19:48:52,"0,1916","0,13152","0,17306"
2021-12-15 19:48:54,"0,19974","0,11315","0,20477"
2021-12-15 19:48:56,"0,1484","0,13059","0,19617"
2021-12-15 19:48:58,"0,16399","0,12184","0,22455"
2021-12-15 19:49:01,"0,15639","0,11591","0,16535"
2021-12-15 19:49:03,"0,14577","0,12","0,19268"
2021-12-15 19:49:05,"0,151","0,12342","0,18959"
2021-12-15 19:49:08,"0,13036","0,09581","0,19245"
2021-12-15 19:49:10,"0,1268","0,12163","0,18108"
2021-12-15 19:49:12,"0,16856","0,09207","0,18484"
2021-12-15 19:49:14,"0,18552","0,09904","0,13076"
2021-12-15 19:49:16,"0,17727","0,12177","0,17281"
2021-12-15 19:49:18,"0,17828","0,10096","0,16276"
2021-12-15 19:49:21,"0,16591","0,13147","0,12997"
2021-12-15 19:49:23,"0,15813","0,11575","0,1551"
2021-12-15 19:49:25,"0,18021","0,14476","0,22678"
2021-12-15 19:49:27,"0,19703","0,12929","0,18049"
2021-12-15 19:49:29,"0,14935","0,13181","0,21357"
2021-12-15 19:49:32,"0,17493","0,11707","0,18288"
2021-12-15 19:49:34,"0,6148","10,34531","0,24091"
2021-12-15 19:49:36,"0,15856","0,20938","0,1801"
2021-12-15 19:49:38,"0,61774","0,44993","0,776"
2021-12-15 19:49:41,"0,81713","0,38791","0,44125"
2021-12-15 19:49:43,"0,50157","0,45018","0,61334"
2021-12-15 19:49:45,"0,57707","0,52207","0,77193"
2021-12-15 19:49:47,"0,62348","0,36371","0,40075"
2021-12-15 19:49:50,"1,51614","0,53605","0,72844"
2021-12-15 19:49:52,"0,52615","0,45535","0,59435"
2021-12-15 19:49:54,"0,63533","0,46115","0,60875"
2021-12-15 19:49:56,"0,65337","0,3448","0,40099"
2021-12-15 19:49:58,"0,63694","0,48569","0,94729"
2021-12-15 19:50:01,"0,33808","0,2023","0,19921"
2021-12-15 19:50:03,"0,17167","0,84165","0,18412"
2021-12-15 19:50:05,"0,22625","0,12765","0,15699"
2021-12-15 19:50:07,"0,18735","0,14469","0,20783"
2021-12-15 19:50:10,"0,65403","10,46878","0,21314"
2021-12-15 19:50:12,"0,1784","0,17946","0,16107"
2021-12-15 19:50:15,"0,96268","0,48946","0,61338"
2021-12-15 19:50:17,"1,33642","0,40791","0,37961"
2021-12-15 19:50:19,"0,77394","0,38501","0,72008"
2021-12-15 19:50:21,"1,03602","0,49444","0,96615"
2021-12-15 19:50:23,"1,12167","0,47939","0,68644"
2021-12-15 19:50:26,"1,08337","0,54302","0,78197"
2021-12-15 19:50:28,"1,01858","0,55582","0,86603"
2021-12-15 19:50:31,"1,1914","0,43786","0,61156"
2021-12-15 19:50:33,"0,97889","0,51452","0,92997"
2021-12-15 19:50:35,"0,79618","0,5685","1,10321"
2021-12-15 19:50:37,"0,33261","0,16002","0,17042"
2021-12-15 19:50:39,"0,36611","5,30873","0,16961"
2021-12-15 19:50:42,"0,22117","0,14051","0,22382"
2021-12-15 19:50:44,"0,13868","0,14768","0,20101"
2021-12-15 19:50:47,"0,73231","0,66255","0,19378"
2021-12-15 19:50:49,"1,25205","0,3933","0,43556"
2021-12-15 19:50:51,"1,16292","0,50853","1,08531"
2021-12-15 19:50:53,"1,41719","0,4208","0,74424"
2021-12-15 19:50:55,"0,94528","0,47361","1,04195"
2021-12-15 19:50:57,"0,56717","0,56479","0,93281"
2021-12-15 19:51:00,"0,78356","0,54465","1,01859"
2021-12-15 19:51:02,"1,27451","0,57413","1,01152"
2021-12-15 19:51:04,"0,57969","0,56317","0,8295"
2021-12-15 19:51:07,"1,08581","0,43992","0,64158"
2021-12-15 19:51:09,"0,63068","0,60341","1,16608"
2021-12-15 19:51:12,"1,04511","0,37265","0,62788"
2021-12-15 19:51:14,"0,1963","0,86755","0,17108"
2021-12-15 19:51:17,"0,22004","0,14811","0,17202"
2021-12-15 19:51:19,"0,19512","0,151","0,22058"
2021-12-15 19:51:21,"0,55062","6,85458","0,22682"
2021-12-15 19:51:23,"0,5536","0,38363","0,17345"
2021-12-15 19:51:26,"0,62777","0,46802","0,74079"
2021-12-15 19:51:28,"1,48195","0,57719","0,88695"
2021-12-15 19:51:30,"0,58588","0,36957","0,38035"
2021-12-15 19:51:32,"0,435","0,69071","1,14103"
2021-12-15 19:51:35,"0,78349","0,54081","0,79753"
2021-12-15 19:51:37,"0,77772","0,67817","1,11503"
2021-12-15 19:51:39,"0,65182","0,57117","0,79482"
2021-12-15 19:51:42,"0,61305","0,66941","1,18987"
2021-12-15 19:51:44,"0,56801","0,47045","0,62369"
2021-12-15 19:51:47,"0,59051","0,69535","1,32307"
2021-12-15 19:51:49,"1,1893","0,56789","0,84026"
2021-12-15 19:51:51,"0,21118","0,83629","0,17313"
2021-12-15 19:51:53,"0,15315","0,12242","0,15044"
2021-12-15 19:51:57,"0,16168","0,11037","0,16616"
2021-12-15 19:51:59,"0,22058","0,91302","0,18344"
2021-12-15 19:52:01,"0,18482","0,2243","0,20293"
2021-12-15 19:52:03,"1,02855","0,42256","0,7568"
2021-12-15 19:52:05,"0,97432","0,39773","0,67151"
2021-12-15 19:52:07,"0,96194","0,3775","0,83435"
2021-12-15 19:52:09,"0,54062","0,53481","1,1067"
2021-12-15 19:52:12,"0,80789","0,44475","0,69925"
2021-12-15 19:52:14,"0,92466","0,54362","0,97027"
2021-12-15 19:52:16,"0,62942","0,37123","0,48627"
2021-12-15 19:52:18,"0,79079","0,5182","0,99772"
2021-12-15 19:52:20,"1,21466","0,36915","0,56499"
2021-12-15 19:52:23,"0,57713","0,48523","1,05932"
2021-12-15 19:52:25,"0,96222","0,38263","0,54433"
2021-12-15 19:52:27,"0,19861","0,84295","0,14501"
2021-12-15 19:52:30,"0,18735","0,10534","0,20631"
2021-12-15 19:52:32,"0,15778","0,15591","0,18695"
2021-12-15 19:52:35,"0,25712","1,02938","0,18737"
2021-12-15 19:52:37,"0,23794","0,23237","0,17937"
2021-12-15 19:52:39,"0,49072","0,46583","0,87618"
2021-12-15 19:52:41,"1,44739","0,44469","0,74917"
2021-12-15 19:52:43,"0,69623","0,36874","0,47936"
2021-12-15 19:52:46,"1,04074","0,58325","1,25499"
2021-12-15 19:52:48,"0,54913","0,43938","0,73961"
2021-12-15 19:52:50,"1,07416","0,58304","1,32116"
2021-12-15 19:52:53,"0,57402","0,49646","1,24392"
