Category,x,y,z
2021-12-15 18:24:59,"0,18298","0,14394","0,19532"
2021-12-15 18:25:01,"0,14091","0,12012","0,19033"
2021-12-15 18:25:04,"0,16574","0,14339","0,15259"
2021-12-15 18:25:06,"0,18515","0,11913","0,17734"
2021-12-15 18:25:08,"0,14658","0,12938","0,17542"
2021-12-15 18:25:10,"0,14244","0,12931","0,21354"
2021-12-15 18:25:12,"0,15317","0,10005","0,15607"
2021-12-15 18:25:15,"0,12952","0,1251","0,15788"
2021-12-15 18:25:17,"0,15098","0,14066","0,1671"
2021-12-15 18:25:20,"0,15376","0,15043","0,20014"
2021-12-15 18:25:22,"0,13997","0,13938","0,14808"
2021-12-15 18:25:24,"0,17597","0,13998","0,16811"
2021-12-15 18:25:27,"0,15701","0,16938","0,1563"
2021-12-15 18:25:30,"0,17598","0,11988","0,17075"
2021-12-15 18:25:32,"0,23893","0,13267","0,2113"
2021-12-15 18:25:34,"0,1712","0,12209","0,19955"
2021-12-15 18:25:36,"0,23304","0,36863","0,26433"
2021-12-15 18:25:38,"0,27819","0,15547","0,19884"
2021-12-15 18:25:41,"0,67208","0,51507","0,51659"
2021-12-15 18:25:43,"0,52638","0,52928","0,40788"
2021-12-15 18:25:46,"0,74718","0,48601","0,58223"
2021-12-15 18:25:48,"0,8809","0,48373","0,74943"
2021-12-15 18:25:51,"0,96387","0,55477","0,64068"
2021-12-15 18:25:53,"1,09263","0,53386","0,73791"
2021-12-15 18:25:56,"1,10212","0,42563","0,69793"
2021-12-15 18:25:58,"0,5126","0,43686","0,41568"
2021-12-15 18:26:00,"1,04143","0,44317","0,78899"
2021-12-15 18:26:02,"1,04697","0,46632","0,55858"
2021-12-15 18:26:05,"0,17313","0,24442","0,17869"
2021-12-15 18:26:07,"0,14919","0,13097","0,19619"
2021-12-15 18:26:09,"0,15433","0,13393","0,16368"
2021-12-15 18:26:11,"0,16162","0,1187","0,15285"
2021-12-15 18:26:13,"0,17043","0,11327","0,14324"
2021-12-15 18:26:16,"0,14796","0,13808","0,16902"
2021-12-15 18:26:19,"0,13847","0,15016","0,18799"
2021-12-15 18:26:21,"0,16046","0,15058","0,19129"
2021-12-15 18:26:23,"0,14719","0,14202","0,12881"
2021-12-15 18:26:26,"0,16524","0,16413","0,14944"
2021-12-15 18:26:28,"0,18983","0,14606","0,15624"
2021-12-15 18:26:31,"0,1605","0,10579","0,19111"
2021-12-15 18:26:34,"0,14967","0,12507","0,16512"
2021-12-15 18:26:36,"0,15134","0,15311","0,19506"
2021-12-15 18:26:38,"0,13364","0,12515","0,15372"
2021-12-15 18:26:40,"0,17351","0,11744","0,18773"
2021-12-15 18:26:42,"0,14338","0,15494","0,153"
2021-12-15 18:26:45,"0,15787","0,15876","0,16153"
2021-12-15 18:26:47,"0,13308","0,1167","0,1491"
2021-12-15 18:26:50,"0,16268","0,13243","0,16551"
2021-12-15 18:26:52,"0,15444","0,13241","0,18088"
2021-12-15 18:26:54,"0,13426","0,17745","0,17922"
2021-12-15 18:26:56,"0,14443","0,15447","0,17114"
2021-12-15 18:26:59,"0,17318","0,17173","0,16155"
2021-12-15 18:27:01,"0,17858","0,12998","0,16012"
2021-12-15 18:27:03,"0,18554","0,13217","0,15615"
2021-12-15 18:27:05,"0,13006","0,14958","0,16526"
2021-12-15 18:27:08,"0,16241","0,12494","0,15601"
2021-12-15 18:27:10,"0,16705","0,12333","0,14202"
2021-12-15 18:27:12,"0,16124","0,12956","0,17808"
2021-12-15 18:27:15,"0,13218","0,13082","0,1789"
2021-12-15 18:27:17,"0,15342","0,1256","0,17968"
2021-12-15 18:27:20,"0,14297","0,10633","0,17822"
2021-12-15 18:27:22,"0,15229","0,11114","0,17445"
2021-12-15 18:27:24,"0,17258","0,12757","0,18892"
2021-12-15 18:27:27,"0,15435","0,09564","0,18925"
2021-12-15 18:27:29,"0,21971","0,21796","0,18076"
2021-12-15 18:27:31,"0,15669","0,14357","0,14498"
2021-12-15 18:27:33,"0,15922","0,13807","0,15798"
2021-12-15 18:27:36,"0,15221","0,12215","0,14974"
2021-12-15 18:27:38,"0,12363","0,13843","0,14704"
2021-12-15 18:27:40,"0,17856","0,13612","0,15977"
2021-12-15 18:27:42,"0,17287","0,13411","0,14108"
2021-12-15 18:27:45,"0,15167","0,13698","0,17388"
2021-12-15 18:27:47,"0,15106","0,1644","0,15916"
2021-12-15 18:27:49,"0,17912","0,11876","0,18893"
2021-12-15 18:27:51,"0,1697","0,11746","0,17762"
2021-12-15 18:27:54,"0,18477","0,14596","0,15822"
2021-12-15 18:27:56,"0,16923","0,10633","0,15489"
2021-12-15 18:27:58,"0,15161","0,13385","0,18051"
2021-12-15 18:28:00,"0,16799","0,13443","0,16512"
2021-12-15 18:28:03,"0,19414","0,13188","0,16795"
2021-12-15 18:28:05,"0,16573","0,11786","0,17029"
2021-12-15 18:28:07,"0,18044","0,11242","0,19176"
2021-12-15 18:28:10,"0,15648","0,14336","0,19384"
2021-12-15 18:28:12,"0,18126","0,16076","0,18189"
2021-12-15 18:28:14,"0,15832","0,12835","0,16791"
2021-12-15 18:28:16,"0,15345","0,12386","0,17293"
2021-12-15 18:28:19,"0,17474","0,13721","0,20741"
2021-12-15 18:28:21,"0,15965","0,17437","0,16241"
2021-12-15 18:28:23,"0,17382","0,12909","0,15363"
2021-12-15 18:28:26,"0,13861","0,10876","0,21504"
2021-12-15 18:28:29,"0,15687","0,14238","0,20516"
2021-12-15 18:28:31,"0,16041","0,13598","0,20605"
2021-12-15 18:28:33,"0,17853","0,11904","0,17999"
2021-12-15 18:28:35,"0,16803","0,15849","0,18425"
2021-12-15 18:28:37,"0,18542","0,13829","0,17742"
2021-12-15 18:28:40,"0,15317","0,13341","0,16038"
2021-12-15 18:28:42,"0,15902","0,12281","0,15118"
2021-12-15 18:28:44,"0,1836","0,13463","0,17842"
2021-12-15 18:28:46,"0,17352","0,11592","0,19015"
2021-12-15 18:28:48,"0,14968","0,14609","0,1775"
2021-12-15 18:28:50,"0,15244","0,13991","0,18504"
2021-12-15 18:28:52,"0,14673","0,13143","0,16866"
2021-12-15 18:28:55,"0,1752","0,14191","0,16336"
2021-12-15 18:28:57,"0,17073","0,16481","0,14298"
2021-12-15 18:28:59,"0,13611","0,10818","0,17036"
2021-12-15 18:29:01,"0,17188","0,15982","0,1704"
2021-12-15 18:29:04,"0,17627","0,12107","0,15428"
2021-12-15 18:29:06,"0,15753","0,13826","0,17178"
2021-12-15 18:29:08,"0,17669","0,17096","0,16024"
2021-12-15 18:29:11,"0,14279","0,14997","0,1863"
2021-12-15 18:29:14,"0,13154","0,16055","0,13933"
2021-12-15 18:29:16,"0,15397","0,1438","0,18615"
2021-12-15 18:29:18,"0,15537","0,13514","0,15354"
2021-12-15 18:29:20,"0,18108","0,13292","0,1659"
2021-12-15 18:29:22,"0,14104","0,11984","0,15114"
2021-12-15 18:29:25,"0,18635","0,14677","0,16788"
2021-12-15 18:29:27,"0,16246","0,13034","0,16296"
2021-12-15 18:29:30,"0,16477","0,12597","0,14468"
2021-12-15 18:29:32,"0,14194","0,11253","0,15426"
2021-12-15 18:29:34,"0,18546","0,12262","0,15991"
2021-12-15 18:29:36,"0,18574","0,12848","0,21742"
2021-12-15 18:29:38,"0,15033","0,17176","0,17291"
2021-12-15 18:29:41,"0,14976","0,13536","0,15625"
2021-12-15 18:29:43,"0,16803","0,16208","0,18718"
2021-12-15 18:29:45,"0,16627","0,14307","0,15893"
2021-12-15 18:29:48,"0,18863","0,11509","0,15641"
2021-12-15 18:29:50,"0,18244","0,14303","0,15303"
2021-12-15 18:29:53,"0,16468","0,13134","0,1742"
2021-12-15 18:29:55,"0,13803","0,11468","0,16993"
2021-12-15 18:29:57,"0,17311","0,12695","0,14285"
2021-12-15 18:29:59,"0,14384","0,15872","0,15378"
2021-12-15 18:30:02,"0,16256","0,13579","0,1695"
2021-12-15 18:30:04,"0,18909","0,12627","0,1594"
2021-12-15 18:30:07,"0,2016","0,1289","0,19056"
2021-12-15 18:30:09,"0,17047","0,14004","0,157"
2021-12-15 18:30:11,"0,19066","0,12617","0,15319"
2021-12-15 18:30:13,"0,14922","0,13847","0,18646"
2021-12-15 18:30:15,"0,17855","0,15748","0,14458"
2021-12-15 18:30:17,"0,15033","0,13451","0,22339"
2021-12-15 18:30:20,"0,16179","0,13743","0,15777"
2021-12-15 18:30:22,"0,14168","0,12771","0,16324"
2021-12-15 18:30:24,"0,18798","0,12722","0,15645"
2021-12-15 18:30:26,"0,21054","0,14559","0,17179"
2021-12-15 18:30:29,"0,14644","0,17966","0,15464"
2021-12-15 18:30:31,"0,17667","0,13112","0,14256"
2021-12-15 18:30:33,"0,19867","0,13879","0,17743"
2021-12-15 18:30:35,"0,15424","0,14465","0,17877"
2021-12-15 18:30:38,"0,18132","0,14181","0,19725"
2021-12-15 18:30:41,"0,17345","0,14915","0,16369"
2021-12-15 18:30:44,"0,16181","0,13902","0,20207"
2021-12-15 18:30:46,"0,14173","0,13587","0,12559"
2021-12-15 18:30:48,"0,16325","0,12461","0,18434"
2021-12-15 18:30:50,"0,13614","0,13936","0,14073"
2021-12-15 18:30:52,"0,15457","0,12523","0,1385"
2021-12-15 18:30:55,"0,16468","0,13768","0,17984"
2021-12-15 18:30:57,"0,14835","0,15192","0,16375"
2021-12-15 18:30:59,"0,14948","0,17593","0,1374"
2021-12-15 18:31:01,"0,16283","0,16329","0,1599"
2021-12-15 18:31:04,"0,16456","0,11732","0,18083"
2021-12-15 18:31:06,"0,15394","0,10603","0,15391"
2021-12-15 18:31:08,"0,15069","0,13029","0,1641"
2021-12-15 18:31:11,"0,15702","0,16147","0,16028"
2021-12-15 18:31:13,"0,19267","0,13137","0,15525"
2021-12-15 18:31:16,"0,15292","0,15613","0,16212"
2021-12-15 18:31:19,"0,1717","0,11871","0,15124"
2021-12-15 18:31:21,"0,13804","0,14315","0,17649"
2021-12-15 18:31:23,"0,15673","0,10321","0,17254"
2021-12-15 18:31:26,"0,20281","0,17","0,21578"
2021-12-15 18:31:28,"0,15521","0,12729","0,17517"
2021-12-15 18:31:30,"0,18695","0,14516","0,19429"
2021-12-15 18:31:32,"0,14586","0,15245","0,15667"
2021-12-15 18:31:35,"0,15966","0,13529","0,20225"
2021-12-15 18:31:37,"0,11175","0,16267","0,17815"
2021-12-15 18:31:39,"0,15961","0,11488","0,15359"
2021-12-15 18:31:42,"0,15619","0,13387","0,14292"
2021-12-15 18:31:44,"0,15535","0,14218","0,16255"
2021-12-15 18:31:46,"0,15354","0,14968","0,18047"
2021-12-15 18:31:49,"0,16128","0,14631","0,21332"
2021-12-15 18:31:51,"0,15498","0,13549","0,15422"
2021-12-15 18:31:53,"0,16938","0,14199","0,18404"
2021-12-15 18:31:56,"0,1403","0,14404","0,17074"
2021-12-15 18:31:58,"0,14476","0,14029","0,13937"
2021-12-15 18:32:01,"0,19203","0,12691","0,18083"
2021-12-15 18:32:03,"0,17351","0,11943","0,14475"
2021-12-15 18:32:06,"0,15473","0,13553","0,17983"
2021-12-15 18:32:09,"0,13301","0,11681","0,17385"
2021-12-15 18:32:11,"0,1649","0,14726","0,19292"
2021-12-15 18:32:14,"0,17249","0,12442","0,17069"
2021-12-15 18:32:17,"0,15529","0,10853","0,17238"
2021-12-15 18:32:19,"0,19227","0,14224","0,22175"
2021-12-15 18:32:21,"0,16813","0,11345","0,12702"
2021-12-15 18:32:23,"0,15986","0,12056","0,16466"
2021-12-15 18:32:26,"0,15299","0,13183","0,1808"
2021-12-15 18:32:28,"0,17162","0,13255","0,17609"
2021-12-15 18:32:31,"0,15066","0,12316","0,15345"
2021-12-15 18:32:33,"0,15137","0,13074","0,20766"
2021-12-15 18:32:36,"0,16815","0,14525","0,21044"
2021-12-15 18:32:38,"0,16032","0,15819","0,20487"
2021-12-15 18:32:41,"0,1699","0,12371","0,17884"
2021-12-15 18:32:43,"0,18181","0,12381","0,18366"
2021-12-15 18:32:46,"0,16055","0,11596","0,18359"
2021-12-15 18:32:48,"0,14638","0,14174","0,19261"
2021-12-15 18:32:51,"0,17878","0,14356","0,18517"
2021-12-15 18:32:54,"0,18516","0,12872","0,20168"
2021-12-15 18:32:56,"0,18122","0,15725","0,21486"
2021-12-15 18:32:58,"0,14239","0,14655","0,22047"
2021-12-15 18:33:01,"0,14844","0,14024","0,22753"
2021-12-15 18:33:03,"0,16051","0,14811","0,23915"
2021-12-15 18:33:06,"0,18518","0,11624","0,20822"
2021-12-15 18:33:08,"0,15037","0,14283","0,23062"
2021-12-15 18:33:11,"0,15093","0,14129","0,20613"
2021-12-15 18:33:13,"0,16077","0,17787","0,20667"
2021-12-15 18:33:15,"0,15964","0,14634","0,1873"
2021-12-15 18:33:18,"0,18265","0,1387","0,15085"
2021-12-15 18:33:20,"0,14996","0,13533","0,23045"
2021-12-15 18:33:22,"0,17644","0,12682","0,16506"
2021-12-15 18:33:25,"0,1648","0,12593","0,17024"
2021-12-15 18:33:27,"0,16803","0,13426","0,22288"
2021-12-15 18:33:29,"0,165","0,13845","0,19511"
2021-12-15 18:33:31,"0,17062","0,14612","0,18392"
2021-12-15 18:33:34,"0,16453","0,15706","0,14816"
2021-12-15 18:33:36,"0,16627","0,13639","0,19352"
2021-12-15 18:33:38,"0,16174","0,13871","0,19048"
2021-12-15 18:33:40,"0,16823","0,13907","0,17371"
2021-12-15 18:33:43,"0,14538","0,13475","0,15947"
2021-12-15 18:33:46,"0,15685","0,15417","0,17758"
2021-12-15 18:33:48,"0,16188","0,16313","0,13381"
2021-12-15 18:33:50,"0,16435","0,14912","0,19449"
2021-12-15 18:33:52,"0,1813","0,11654","0,14755"
2021-12-15 18:33:55,"0,155","0,13552","0,15439"
2021-12-15 18:33:57,"0,14759","0,11612","0,22859"
2021-12-15 18:34:00,"0,14583","0,1274","0,16623"
2021-12-15 18:34:02,"0,16626","0,13737","0,15913"
2021-12-15 18:34:04,"0,17229","0,16688","0,17982"
2021-12-15 18:34:07,"0,14737","0,10815","0,19335"
2021-12-15 18:34:09,"0,1613","0,14399","0,18236"
2021-12-15 18:34:11,"0,15454","0,14889","0,17688"
2021-12-15 18:34:14,"0,17076","0,1208","0,19121"
2021-12-15 18:34:16,"0,13895","0,12189","0,14305"
2021-12-15 18:34:18,"0,15072","0,13101","0,21716"
2021-12-15 18:34:21,"0,19436","0,12893","0,17475"
2021-12-15 18:34:23,"0,17004","0,13279","0,18113"
2021-12-15 18:34:26,"0,22058","0,14407","0,14919"
2021-12-15 18:34:28,"0,20394","0,13271","0,16939"
2021-12-15 18:34:31,"0,1912","0,14403","0,17076"
2021-12-15 18:34:33,"0,16437","0,1188","0,16544"
2021-12-15 18:34:36,"0,13782","0,15788","0,15164"
2021-12-15 18:34:38,"0,23001","0,12371","0,15338"
2021-12-15 18:34:41,"0,19623","0,13317","0,15491"
